	umap dim 1	umap dim 2	Membrane.Ecad..HCC.650.Joe..Mean..Normalized.Counts..Total.Weighting.	Nucleus.DAPI.Mean..Normalized.Counts..Total.Weighting.	Cytoplasm.CD103..HCC.520.Joe..Mean..Normalized.Counts..Total.Weighting.	Cytoplasm.Glypican..HCC.540.Joe..Mean..Normalized.Counts..Total.Weighting.	Cytoplasm.CD8..HCC.570.Joe..Mean..Normalized.Counts..Total.Weighting.	Cytoplasm.PD1..HCC.620.Joe..Mean..Normalized.Counts..Total.Weighting.	Cytoplasm.CD3..HCC.690.Joe..Mean..Normalized.Counts..Total.Weighting.
9689	1.5587891	13.2792425	30.125	22.462	1.585	14.998	18.544	6.476	1.108
9690	2.2669613	2.1121426	9.724	14.637	1.298	5.206	10.15	6.454	0.679
9691	0.59853965	7.6025305	17.217	16.552	1.438	6.372	13.814	6.655	1.119
9692	0.5259285	2.815534	10.774	27.111	1.235	5.897	11.288	6.097	1.057
9693	2.7803867	7.9060836	15.427	12.212	1.392	7.845	16.268	6.529	1.291
9694	0.14133038	12.776606	27.715	19.127	1.261	10.592	10.464	4.466	1.34
9695	1.8115127	11.680988	24.779	14.348	1.222	15.009	14.933	7.296	0.883
9696	1.689359	8.446086	18.281	14.202	1.602	7.397	16.393	8.614	0.938
9697	-0.4055308	11.573447	24.55	16.029	1.316	8.261	12.437	6.591	1.03
9698	1.6927928	9.03237	18.947	15.668	1.974	9.996	15.992	8.073	1.325
9699	2.9655206	9.440498	15.907	15.273	1.702	16.94	12.291	5.79	0.61
9700	2.1407623	-0.73864746	7.636	14.278	0.862	4.116	5.818	6.092	0.693
9701	2.0163124	14.628827	35.893	16.659	1.801	16.837	20.932	6.813	1.491
9702	0.19535902	6.59777	16.578	14.878	1.158	9.197	10.959	5.823	0.802
9703	-1.1800405	9.093165	20.324	12.681	1.604	6.4	10.127	4.67	1.161
9704	1.1347247	11.6198015	24.82	11.946	1.826	10.124	16.896	8.468	1.19
9705	2.3296409	11.957893	24.273	14.39	1.252	18.396	15.231	5.753	0.88
9706	-0.3938466	6.265549	16.784	14.042	1.295	8.243	9.676	6.085	0.907
9707	1.7757944	7.424658	16.184	18.976	1.956	7.132	14.44	9.418	0.983
9708	1.2306559	6.1335087	14.774	14.436	1.557	9.802	11.432	6.127	0.908
9709	0.40995002	5.5549464	15.25	11.704	1.488	6.93	11.765	7.153	0.953
9710	1.5580469	8.38871	18.43	15.41	1.527	7.217	14.85	10.163	1.021
